Name,State,latitude,Longitude,Elivation,Est. Population
Shartang,,24.07,93.73,4189,2736
Shelkai,,24.02,93.80,4189,4270
Shella,,25.18,91.64,830,15396
Sherpur,,24.67,92.35,52,86303
Shiong,,26.70,94.93,3349,13190
Shirgaon,,19.70,72.72,13,45957
Shonkāria,,26.46,91.47,141,83866
Shorbung,,25.26,94.13,4212,16796
Shāmpura,,24.01,76.05,1669,20256
Sibāpurikhal,,24.57,93.09,160,18492
Sicham,,27.14,92.58,4189,975
Sidhung,,24.51,92.35,108,45266
Sigonem,,15.12,74.25,958,6593
Sihphir,,23.82,92.74,3592,54739
Sildubi,,26.58,93.31,387,25785
Silua,,24.54,92.15,32,89293
Simila,,26.02,91.16,242,33648
Singhik,,27.52,88.56,4189,12136
Singkap,,24.86,94.25,3500,2235
Singtam,,27.28,88.08,7549,12958
Singura,,24.71,92.47,91,60756
Siranguli,,15.48,74.18,213,9480
Sirangulim,,15.48,74.18,213,9480
Sircodem,,15.50,74.17,259,12985
Siri,,19.70,72.72,13,45957
Sirsodem,,15.50,74.17,259,12985
Soda Dhakhi,,34.04,74.11,6896,9983
Sokpao,,24.98,94.27,4520,7319
Somnath,,20.89,70.40,42,102362
Sonarijangaon,,26.22,93.14,229,17582
Sonaulim,,15.32,74.30,830,5634
Sonārihola,,26.55,92.88,216,33966
Soshing,,27.28,88.35,6148,14120
Sosing,,27.28,88.35,6148,14120
Soyet,,24.19,76.18,1112,19043
Sri Chhatarpur,,24.54,75.94,1118,23440
Sukaltirth,,21.75,73.12,45,57274
Suklatirth,,21.75,73.12,45,57274
Sukol,,32.30,75.33,853,47148
Sunphān,,26.82,90.17,1669,18393
Surla,,15.42,74.20,246,7753
Suvāli,,21.17,72.64,39,1071182
Suwali,,21.17,72.64,39,1071182
Swally,,21.17,72.64,39,1071182
Sāda Dhakki,,34.04,74.11,6896,9983
Sāhūwāl,,31.97,74.76,830,51921
Sāpatimi,,26.20,94.55,5029,12354
Sātgaon,,26.15,91.85,170,24246
Sūryalanka,,15.85,80.53,0,30547
Tabumoreng,,27.34,93.07,4189,4321
Tachhip,,23.58,92.72,2614,832
Tadong,,27.30,88.60,3349,56649
Takarnam,,27.11,93.52,3349,12481
Takirambari,,24.23,91.95,164,37701
Taksing,,28.57,93.27,15249,185
Taktsang,,28.57,93.27,15249,185
Talphoi,,24.32,93.62,4189,20096
Tamaso,,27.13,93.39,4501,444
Tarangbiang,,25.21,92.21,2017,9865
Tasku,,25.95,91.75,885,3217
Teikhang,,24.59,93.37,1738,3525
Tekhug,,27.37,88.80,12828,24558
Telipara,,26.03,91.08,223,35792
Terhagachh,,26.41,87.67,180,65436
Tesha,,27.32,92.69,4419,1226
Thagli,,32.35,75.30,967,42108
Thakurbari,,24.40,92.23,88,48162
Thanggu,,27.90,88.54,13625,0
Thangmo,,25.65,92.65,2509,8940
Thayang,,25.95,92.12,2509,8346
Thekuk,,27.37,88.80,12828,24558
Thibāpāra,,25.24,90.22,187,14072
Thilon,,24.99,93.41,1669,2689
